Date,Open,High,Low,Close,Adj Close,Volume,Date
5/15/2023,412.220001,413.429993,410.230011,413.01001,407.114502,54289400,
5/16/2023,411.859985,412.820007,410.23999,410.25,404.393921,57705500,
5/17/2023,412.350006,415.859985,410.640015,415.230011,409.302856,87287000,
5/18/2023,414.899994,419.670013,414.670013,419.230011,413.245728,97177200,
5/19/2023,420.170013,420.720001,417.350006,418.619995,412.644409,103679700,
5/22/2023,418.640015,420.390015,417.350006,418.790009,412.812042,60745400,
5/23/2023,417.079987,418.720001,413.679993,414.089996,408.179077,86383500,
5/24/2023,412.420013,412.820007,409.880005,411.089996,405.221924,89213700,
5/25/2023,414.73999,416.160004,412.410004,414.649994,408.73114,90961600,
5/26/2023,415.329987,420.769989,415.25,420.019989,414.024445,93830000,
5/30/2023,422.029999,422.579987,418.73999,420.179993,414.182159,72216000,
5/31/2023,418.279999,419.220001,416.220001,417.850006,411.885437,110811800,
6/1/2023,418.089996,422.920013,416.790009,421.820007,415.798767,88865000,
6/2/2023,424.5,428.73999,423.950012,427.920013,421.811676,91366700,
6/5/2023,428.279999,429.619995,426.369995,427.100006,421.003418,65460200,
6/6/2023,426.670013,428.579987,425.98999,428.029999,421.920105,64022200,
6/7/2023,428.440002,429.619995,426.109985,426.549988,420.461243,85373300,
6/8/2023,426.619995,429.600006,425.820007,429.130005,423.004425,61952800,
6/9/2023,429.959991,431.98999,428.869995,429.899994,423.763397,85742800,
6/12/2023,430.920013,433.880005,430.170013,433.799988,427.607758,76104300,
6/13/2023,435.320007,437.329987,434.630005,436.660004,430.42691,95899700,
6/14/2023,437.01001,439.059998,433.589996,437.179993,430.939514,100612100,
6/15/2023,436.329987,443.899994,436.230011,442.600006,436.282135,110303100,
6/16/2023,443.019989,443.609985,438.970001,439.459991,434.796051,114121300,
6/20/2023,437.450012,438.369995,435.029999,437.179993,432.540283,76160400,
6/21/2023,436.160004,436.98999,434.329987,434.940002,430.324036,76982300,
6/22/2023,433.950012,436.619995,433.600006,436.51001,431.877411,70637200,
6/23/2023,432.929993,435.059998,432.470001,433.209991,428.612396,92074500,
6/26/2023,432.619995,434.609985,431.190002,431.440002,426.861176,72823600,
6/27/2023,432.350006,436.809998,431.880005,436.170013,431.541016,72813700,
6/28/2023,435.049988,437.440002,434.410004,436.390015,431.758698,75636000,
6/29/2023,435.959991,438.279999,435.540009,438.109985,433.460388,67882300,
6/30/2023,441.440002,444.299988,441.109985,443.279999,438.575531,104921500,
7/3/2023,442.920013,444.079987,442.630005,443.790009,439.080109,32793400,
7/5/2023,441.910004,443.890015,441.899994,443.130005,438.427124,58418400,
7/6/2023,439.420013,440.100006,437.059998,439.660004,434.993958,80658300,
7/7/2023,438.630005,442.640015,438.299988,438.549988,433.895721,86076100,
7/10/2023,438.179993,439.839996,437.589996,439.660004,434.993958,62443500,
7/11/2023,440.450012,442.970001,439.440002,442.459991,437.764221,64463800,
7/12/2023,446.390015,447.480011,444.910004,446.019989,441.286438,91924500,
7/13/2023,447.899994,450.380005,447.450012,449.559998,444.78891,72425200,
7/14/2023,450.480011,451.359985,448.48999,449.279999,444.511841,69761800,
7/17/2023,449.130005,451.929993,449.079987,450.839996,446.055267,52680200,
7/18/2023,450.5,454.859985,450.049988,454.190002,449.369751,80744400,
7/19/2023,455.01001,456.429993,454.109985,455.200012,450.369019,65891700,
7/20/2023,454.170013,455.100006,451.440002,452.179993,447.381073,70591600,
7/21/2023,453.959991,454.170013,452.170013,452.179993,447.381073,71245400,
7/24/2023,453.369995,455.040009,452.299988,454.200012,449.379669,54023400,
